mutation_cost,Q_factor,k_cat_dhfr
0.0,850.0,28333.333333333336
0.5050505050505051,827.7049180327868,27590.16393442623
1.0101010101010102,806.5495207667732,26884.984025559104
1.5151515151515151,786.4485981308411,26214.95327102804
2.0202020202020203,767.3252279635259,25577.507598784196
2.5252525252525255,749.1097922848666,24970.326409495552
3.0303030303030303,731.7391304347827,24391.30434782609
3.5353535353535355,715.1558073654392,23838.526912181303
4.040404040404041,699.3074792243766,23310.249307479222
4.545454545454546,684.1463414634146,22804.878048780487
5.050505050505051,669.6286472148541,22320.954907161802
5.555555555555556,655.7142857142857,21857.142857142855
6.0606060606060606,642.3664122137404,21412.213740458013
6.565656565656566,629.5511221945137,20985.037406483792
7.070707070707071,617.2371638141809,20574.572127139367
7.575757575757576,605.3956834532373,20179.856115107912
8.080808080808081,594.0,19800.0
8.585858585858587,583.0254041570438,19434.18013856813
9.090909090909092,572.4489795918367,19081.632653061224
9.595959595959597,562.2494432071269,18741.64810690423
10.101010101010102,552.4070021881838,18413.566739606125
10.606060606060607,542.9032258064516,18096.774193548386
11.111111111111112,533.7209302325581,17790.697674418603
11.616161616161618,524.8440748440747,17494.80249480249
12.121212121212121,516.2576687116565,17208.588957055217
12.626262626262626,507.9476861167002,16931.58953722334
13.131313131313131,499.9009900990098,16663.36633663366
13.636363636363637,492.10526315789474,16403.508771929824
14.141414141414142,484.5489443378119,16151.631477927063
14.646464646464647,477.2211720226843,15907.372400756143
15.151515151515152,470.11173184357534,15670.39106145251
15.656565656565657,463.2110091743119,15440.366972477064
16.161616161616163,456.5099457504521,15216.998191681736
16.666666666666668,450.0,15000.0
17.171717171717173,443.67311072056236,14789.103690685411
17.67676767676768,437.5216637781628,14584.055459272095
18.181818181818183,431.53846153846155,14384.615384615385
18.68686868686869,425.71669477234406,14190.556492411468
19.191919191919194,420.0499168053244,14001.663893510813
19.6969696969697,414.5320197044334,13817.73399014778
20.202020202020204,409.1572123176661,13638.573743922205
20.70707070707071,403.92,13464.0
21.212121212121215,398.81516587677726,13293.838862559242
21.71717171717172,393.8377535101404,13127.92511700468
22.222222222222225,388.98305084745755,12966.10169491525
22.72727272727273,384.2465753424657,12808.21917808219
23.232323232323235,379.62406015037595,12654.135338345865
23.73737373737374,375.11144130757793,12503.714710252598
24.242424242424242,370.70484581497794,12356.828193832598
24.747474747474747,366.400580551524,12213.3526850508
25.252525252525253,362.1951219512195,12073.170731707316
25.757575757575758,358.0851063829787,11936.170212765957
26.262626262626263,354.0673211781206,11802.244039270687
26.767676767676768,350.13869625520107,11671.28987517337
27.272727272727273,346.2962962962963,11543.20987654321
27.77777777777778,342.5373134328358,11417.910447761193
28.282828282828284,338.8590604026845,11295.302013422817
28.78787878787879,335.2589641434263,11175.298804780876
29.292929292929294,331.73455978975034,11057.818659658345
29.7979797979798,328.28348504551366,10942.782834850455
30.303030303030305,324.9034749034749,10830.11583011583
30.80808080808081,321.5923566878981,10719.745222929934
31.313131313131315,318.34804539722575,10611.601513240857
31.81818181818182,315.1685393258427,10505.61797752809
32.323232323232325,312.0519159456118,10401.730531520394
32.82828282828283,308.9963280293757,10299.87760097919
33.333333333333336,305.99999999999994,10199.999999999998
33.83838383838384,303.0612244897959,10102.04081632653
34.343434343434346,300.1783590963139,10005.945303210465
34.84848484848485,297.3498233215547,9911.660777385157
35.35353535353536,294.57409568261374,9819.136522753792
35.85858585858586,291.84971098265896,9728.323699421966
36.36363636363637,289.1752577319587,9639.175257731957
36.86868686868687,286.5493757094211,9551.645856980704
37.37373737373738,283.970753655793,9465.691788526432
37.87878787878788,281.438127090301,9381.270903010034
38.38383838383839,278.9502762430939,9298.342541436465
38.88888888888889,276.50602409638554,9216.867469879518
39.3939393939394,274.10423452768725,9136.807817589575
39.8989898989899,271.74381054897736,9058.127018299245
40.40404040404041,269.42369263607253,8980.78975453575
40.909090909090914,267.1428571428571,8904.761904761905
41.41414141414142,264.90031479538294,8830.01049317943
41.919191919191924,262.6951092611862,8756.503642039539
42.42424242424243,260.5263157894737,8684.21052631579
42.929292929292934,258.3930399181167,8613.10133060389
43.43434343434344,256.2944162436548,8543.147208121827
43.939393939393945,254.22960725075527,8474.320241691841
44.44444444444445,252.19780219780213,8406.593406593405
44.949494949494955,250.1982160555005,8339.94053518335
45.45454545454546,248.23008849557522,8274.33628318584
45.959595959595966,246.29268292682923,8209.756097560974
46.46464646464647,244.3852855759922,8146.176185866408
46.969696969696976,242.507204610951,8083.5734870317
47.47474747474748,240.6577693040991,8021.92564346997
47.979797979797986,238.8363292336802,7961.210974456007
48.484848484848484,237.04225352112678,7901.408450704226
48.98989898989899,235.2749301025163,7842.497670083877
49.494949494949495,233.53376503237743,7784.4588344125805
50.0,231.81818181818178,7727.272727272726
