T_K,k_cat_H_SLO1,k_cat_D_SLO1,KIE_SLO1,k_cat_WT_MADH,k_cat_Mut_MADH,k_cat_psych_ADH,k_cat_thermo_ADH
270.0,0.0,0.0,0.0,0.0,0.0,6.879204011407614e-31,8.096570496605695e-276
270.80808080808083,0.0,0.0,0.0,0.0,0.0,2.303453553474214e-27,2.275154572927958e-222
271.6161616161616,0.0,0.0,0.0,0.0,0.0,5.267414975053206e-24,1.971563394997145e-176
272.42424242424244,0.0,0.0,0.0,0.0,0.0,8.040221113977557e-21,2.6567236426264445e-137
273.2323232323232,0.0,0.0,0.0,0.0,0.0,8.032087118194548e-18,2.5126457455484797e-104
274.04040404040404,0.0,0.0,0.0,0.0,0.0,5.164676179577705e-15,6.778905817605462e-77
274.8484848484849,0.0,0.0,0.0,0.0,0.0,2.1084586589203833e-12,1.9204180123530143e-54
275.65656565656565,0.0,0.0,0.0,0.0,0.0,5.406245822209089e-10,1.914898490447864e-36
276.4646464646465,0.0,0.0,0.0,0.0,0.0,8.636595215128765e-08,2.0621299243662965e-22
277.27272727272725,0.0,0.0,0.0,0.0,0.0,8.550168239953218e-06,6.769630991063862e-12
278.0808080808081,0.0,0.0,0.0,0.0,0.0,0.0005230914854681271,0.00017674698960800723
278.8888888888889,0.0,0.0,0.0,0.0,0.0,0.019770002703472667,8.889729608799424
279.6969696969697,0.0,0.0,0.0,0.0,0.0,0.4625290577557294,1945.3416481099894
280.5050505050505,6.097931012462796e-309,0.0,6.097931012462796e-297,2.3703367535e-314,0.0,6.727057830904545,3916.2812074611097
281.3131313131313,2.3826815387052904e-283,0.0,2.3826815387052904e-271,6.407596632922388e-297,0.0,61.212521850769086,144.1399814019761
282.1212121212121,9.307094642004867e-259,0.0,9.307094642004867e-247,7.205031174488346e-280,0.0,351.42653955036326,0.18182520765834778
282.92929292929296,3.3903684701523355e-235,0.0,3.3903684701523355e-223,3.198102119266283e-263,0.0,1286.1262700961893,1.3950779059256837e-05
283.73737373737373,1.0834793098820169e-212,0.0,1.083479309882017e-200,5.3399287505333466e-247,0.0,3036.9567395253493,1.0974210630378461e-10
284.54545454545456,2.88100770317134e-191,0.0,2.8810077031713402e-179,3.2093258966067714e-231,0.0,4691.119186157893,1.4215245752185848e-16
285.35353535353534,6.093881573542609e-171,0.0,6.093881573542609e-159,6.669892422846985e-216,0.0,4813.379666949954,4.6542538571956156e-23
286.16161616161617,9.879230159119337e-152,0.0,9.879230159119338e-140,4.6232622533347494e-201,0.0,3336.098984167159,5.666949475752975e-30
286.969696969697,1.1917158492704559e-133,0.0,1.1917158492704559e-121,1.0348323013033013e-186,0.0,1590.374494019317,3.62834173241969e-37
287.77777777777777,1.046113209904741e-116,0.0,1.046113209904741e-104,7.269097003943582e-173,0.0,531.6382596738059,1.664474770204267e-44
288.5858585858586,6.582299898777568e-101,0.0,6.582299898777569e-89,1.5630314373235513e-159,0.0,127.19021635911393,7.200673034039103e-52
289.3939393939394,2.9445016437347445e-86,0.0,2.9445016437347447e-74,1.007092007336758e-146,0.0,22.248854014566675,3.7436584725262194e-59
290.2020202020202,9.350446716135861e-73,0.0,9.350446716135862e-61,1.9099869820912456e-134,0.0,2.909763989143436,2.8926589884238335e-66
291.01010101010104,2.1183732357991232e-60,0.0,2.1183732357991232e-48,1.0509042752417512e-122,1.209901643834487e-294,0.2911525729185516,3.994794579998107e-73
291.8181818181818,3.462575523111813e-49,0.0,3.462575523111813e-37,1.6588318991924217e-111,3.867748963180223e-268,0.02282460177132454,1.1554323673398256e-79
292.62626262626264,4.154466859339593e-39,0.0,4.154466859339593e-27,7.451833417502133e-101,6.315142478294057e-243,0.0014363391418263523,8.006974679030427e-86
293.4343434343434,3.7442082157066296e-30,0.0,3.744208215706629e-18,9.479753048519001e-91,5.2052271743184536e-219,7.437600225006718e-05,1.4874239917459434e-91
294.24242424242425,2.6083178418284827e-22,0.0,2.608317841828483e-10,3.4083819262972365e-81,2.155769694417047e-196,3.249648271165791e-06,8.118991236982428e-97
295.050505050505,1.4529906412124923e-15,0.0,0.0014529906412124923,3.4666465942653734e-72,4.495735415389832e-175,1.2288083995904607e-07,1.4006265253131932e-101
295.85858585858585,6.730273071428795e-10,0.0,673.0273071428795,1.0011012011778928e-63,4.7622779366525525e-155,4.125348863374475e-09,8.07248561721715e-106
296.6666666666667,2.7086752393771423e-05,0.0,27086752.393771425,8.260577686983478e-56,2.6011752893205445e-136,1.2614663600895792e-10,1.6171816429990673e-109
297.47474747474746,0.09943629536287651,0.0,99436295362.87651,1.9650760001221927e-48,7.482229005747045e-119,3.604313940878932e-12,1.1546907714162304e-112
298.2828282828283,35.109969990175905,0.0,35109969990175.906,1.3631022435276854e-41,1.164393646979684e-102,9.870466031656489e-14,2.9734981966912513e-115
299.09090909090907,1262.6239966265114,0.0,1262623996626511.5,2.795298699087481e-35,1.0127625036724455e-87,2.656803531436467e-15,2.7611402982005255e-117
299.8989898989899,4916.61094135799,0.0,4916610941357990.0,1.721995536383604e-29,5.113424779288593e-74,7.205921845731519e-17,9.144062279395771e-119
300.7070707070707,2212.224293804149,0.0,2212224293804149.0,3.2451282703180748e-24,1.5645591314591367e-61,2.0181515619899814e-18,1.0577749941053442e-119
301.5151515151515,123.17556208865581,0.0,123175562088655.81,1.9090387012442386e-19,3.0433052003141536e-50,5.978112943844424e-20,4.1498722648572074e-120
302.32323232323233,0.9119158975318244,0.0,911915897531.8245,3.584420454599979e-15,3.966295510289414e-40,1.9172619207223195e-21,5.3196104821158276e-120
303.1313131313131,0.0009675434756435975,0.0,967543475.6435975,2.2003455648387293e-11,3.6663660805849214e-31,6.81050021848931e-23,2.1319391333511613e-119
303.93939393939394,1.5902912923578004e-07,0.0,159029.12923578004,4.5315000072030715e-08,2.5552516600458123e-23,2.739091761740223e-24,2.540793772637484e-118
304.74747474747477,4.3887432864736805e-12,0.0,4.38874328647368,3.218147742851398e-05,1.4329274287086425e-16,1.2739587438017086e-25,8.520562025263325e-117
305.55555555555554,2.2095198111313328e-17,0.0,2.209519811131333e-05,0.008113282642181233,6.925679139562373e-11,6.992357332843455e-27,7.57460986691153e-115
306.3636363636364,2.2098669809634455e-23,0.0,2.2098669809634455e-11,0.7486271745870315,3.1010817265871173e-06,4.617245478794783e-28,1.6754364880768055e-112
307.17171717171715,4.7912713783047635e-30,0.0,4.791271378304763e-18,26.101232777088295,0.013872453830357031,3.735471700841004e-29,8.628527544978592e-110
307.979797979798,2.461832805167361e-37,0.0,2.461832805167361e-25,355.45625469706977,6.7061482181192185,3.7664415037055925e-30,9.658401724946648e-107
308.7878787878788,3.2825348824326206e-45,0.0,3.2825348824326207e-33,1956.854932853506,379.9975277200977,4.808802806671056e-31,2.189569285807018e-103
309.5959595959596,1.245516416031093e-53,0.0,1.245516416031093e-41,4512.009909318193,2744.7703261462434,7.888690971894873e-32,9.355428341938034e-100
310.4040404040404,1.4766106216314174e-62,0.0,1.4766106216314175e-50,4519.038811171591,2754.9014809384184,1.6849722330258952e-32,7.005640057264647e-96
311.2121212121212,6.011769659484611e-72,0.0,6.01176965948461e-60,2040.8305885889745,419.73198923204,4.7418050546079264e-33,8.54679311775139e-92
312.020202020202,9.246442822497517e-82,0.0,9.246442822497517e-70,431.74616446116516,10.62518853367845,1.776469849093166e-33,1.5793376465907782e-87
312.82828282828285,5.914114261609141e-92,0.0,5.914114261609141e-80,44.48396086018831,0.04899849136306514,8.938479463390318e-34,4.11183762076724e-83
313.6363636363636,1.7324601462741433e-102,0.0,1.7324601462741433e-90,2.3222208462999485,4.5201545793976546e-05,6.084014744155166e-34,1.4042590514585625e-78
314.44444444444446,2.560591032079546e-113,0.0,2.5605910320795462e-101,0.06393544078523947,9.17196743828102e-09,5.6330083033844165e-34,5.864165392925102e-74
315.25252525252523,2.1038537090197757e-124,0.0,2.1038537090197757e-112,0.0009667963680154115,4.506171362635939e-13,7.1213744342602635e-34,2.7956451052925784e-69
316.06060606060606,1.0586593353642209e-135,0.0,1.0586593353642209e-123,8.365043488316372e-06,5.905854130068781e-18,1.231775179523054e-33,1.4231127245075492e-64
316.86868686868684,3.593557691359609e-147,0.0,3.5935576913596094e-135,4.315759625358051e-08,2.2766291342114265e-23,2.9154792168632127e-33,7.250207642979274e-60
317.67676767676767,9.059466692507694e-159,0.0,9.059466692507695e-147,1.3839291134260196e-10,2.8475258059940353e-29,9.426207228257913e-33,3.472941342070544e-55
318.4848484848485,1.866453668285802e-170,0.0,1.866453668285802e-158,2.875479124191181e-13,1.2752148025219171e-35,4.147600819885574e-32,1.473205242185525e-50
319.2929292929293,3.4551496655755383e-182,0.0,3.4551496655755385e-170,4.035937465150135e-16,2.256705905028671e-42,2.469433327070804e-31,5.226529778914529e-46
320.1010101010101,6.313195879591767e-194,0.0,6.313195879591767e-182,3.9893871083025297e-19,1.7416400410143947e-49,1.9739919243294253e-30,1.4688197016149984e-41
320.9090909090909,1.2493669153891743e-205,0.0,1.2493669153891744e-193,2.8949637038218067e-22,6.467701710908507e-57,2.0976146582249805e-29,3.106471493380454e-37
321.7171717171717,2.934758614275344e-217,0.0,2.934758614275344e-205,1.607413598641724e-25,1.2746410110674334e-64,2.9273723291478597e-28,4.7121860609053446e-33
322.52525252525254,8.955057012917345e-229,0.0,8.955057012917346e-217,7.115806182176492e-29,1.4694495694045873e-72,5.2890201630127386e-27,4.901921589093443e-29
323.3333333333333,3.8785593791015586e-240,0.0,3.8785593791015586e-228,2.6161141484390054e-32,1.0914429177576777e-80,1.2167542172399405e-25,3.354991783118605e-25
324.14141414141415,2.60090705703555e-251,0.0,2.60090705703555e-239,8.317207401563468e-36,5.747387448741762e-89,3.497339962315745e-24,1.4543923199409206e-21
324.9494949494949,2.9401225959741484e-262,0.0,2.9401225959741483e-250,2.3797729251348628e-39,2.3584434971407434e-97,1.2295000510538087e-22,3.857776405449434e-18
325.75757575757575,6.087641548546865e-273,0.0,6.087641548546865e-261,6.374490254270291e-43,8.278934598592654e-106,5.162676831354076e-21,6.070061982838337e-15
326.5656565656566,2.5031772887124215e-283,0.0,2.503177288712422e-271,1.6617196744603664e-46,2.7252102568941276e-114,2.5223729327651084e-19,5.512288360936566e-12
327.37373737373736,2.2110838480792246e-293,0.0,2.2110838480792247e-281,4.3795406152439685e-50,9.2063671459309e-123,1.393404854323323e-17,2.820905609724165e-09
328.1818181818182,4.527271565216545e-303,0.0,4.527271565216545e-291,1.2114076909027487e-53,3.4870593530232407e-131,8.435671526924651e-16,7.971708291458206e-07
328.98989898989896,2.312629243753e-312,0.0,2.312629243753055e-300,3.647732178973637e-57,1.6147253807165747e-139,5.410705427670142e-14,0.00012233678877267138
329.7979797979798,0.0,0.0,0.0,1.2391537949756448e-60,9.946947732934063e-148,3.5453315319134167e-12,0.010061904703740274
330.6060606060606,0.0,0.0,0.0,4.9168484168080044e-64,8.850098007963561e-156,2.2821670276536505e-10,0.43925655490841337
331.4141414141414,0.0,0.0,0.0,2.357006452542002e-67,1.2318421693716931e-163,1.3841070025264085e-08,10.115138179284358
332.22222222222223,0.0,0.0,0.0,1.4103803171154151e-70,2.897974995444659e-171,7.564432093397917e-07,122.5237919786452
333.030303030303,0.0,0.0,0.0,1.0872060374540312e-73,1.2416225326427952e-178,3.5531436470540275e-05,781.0775977516664
333.83838383838383,0.0,0.0,0.0,1.1129340946999285e-76,1.0409730995692927e-185,0.001364272658158726,2630.518998960906
334.64646464646466,0.0,0.0,0.0,1.5575721737915745e-79,1.8296144603034547e-192,0.04060927251458009,4712.949296043101
335.45454545454544,0.0,0.0,0.0,3.06421428580224e-82,7.199799789798641e-199,0.8861656719896698,4537.5484247211425
336.26262626262627,0.0,0.0,0.0,8.700822052945234e-85,6.752876868942615e-205,13.366941819533405,2378.4807682015826
337.07070707070704,0.0,0.0,0.0,3.656216615077223e-87,1.6016573642457883e-210,131.02545058271468,689.6900455659676
337.8787878787879,0.0,0.0,0.0,2.3278361110575836e-89,1.0156598228910934e-215,782.2904322079695,112.72350816096261
338.6868686868687,0.0,0.0,0.0,2.295484720471809e-91,1.8139891129407117e-220,2658.52590555965,10.60873797484113
339.4949494949495,0.0,0.0,0.0,3.578174297240097e-93,9.576518667072717e-225,4790.955107584848,0.5888186725945834
340.3030303030303,0.0,0.0,0.0,8.983903568247438e-95,1.5622859785163837e-228,4252.284633655333,0.01978737682349997
341.1111111111111,0.0,0.0,0.0,3.6957435433076822e-96,8.200635443015613e-232,1721.0849115294413,0.0004142709425213181
341.9191919191919,0.0,0.0,0.0,2.529480532202358e-97,1.4362530766316358e-234,293.19745209353664,5.571727679705079e-06
342.72727272727275,0.0,0.0,0.0,2.9196736379928316e-98,8.666220028414219e-237,19.342800418591285,4.973691221525669e-08
343.5353535353535,0.0,0.0,0.0,5.7503059694855635e-99,1.8521148962395172e-238,0.45322749377665034,3.0501030570364944e-10
344.34343434343435,0.0,0.0,0.0,1.9514609899289922e-99,1.43491155375003e-239,0.0034481704676375567,1.3322362772156597e-12
345.1515151515151,0.0,0.0,0.0,1.1501572558426606e-99,4.1056971045951153e-240,7.761836836803201e-06,4.303431229918719e-15
345.95959595959596,0.0,0.0,0.0,1.1842305105823494e-99,4.3994301539860335e-240,4.6951549085893845e-09,1.0688863733466314e-17
346.7676767676768,0.0,0.0,0.0,2.1382926887192702e-99,1.7815862534061633e-239,6.909059393303455e-13,2.1249815303443815e-20
347.57575757575756,0.0,0.0,0.0,6.782929861179485e-99,2.7380065755816067e-238,2.2315278308379864e-17,3.5232479609811295e-23
348.3838383838384,0.0,0.0,0.0,3.7786083798825976e-98,1.595558487371308e-236,1.4225815941265888e-22,5.08055744125697e-26
349.19191919191917,0.0,0.0,0.0,3.6873514159848815e-97,3.5046673399319766e-234,1.604193273487425e-28,6.649008181064583e-29
350.0,0.0,0.0,0.0,6.273483482804056e-96,2.8692556041863824e-231,2.858116283366335e-35,8.244811851026206e-32
