T_K,Q_factor,Gamma_T,occupancy_H,occupancy_D,kie_sde
270.0,765.0000000000001,0.15686274509803919,0.0,0.0,0.0
272.05128205128204,770.191337421408,0.1558054397258721,0.0,0.0,0.0
274.1025641025641,773.9954930868537,0.1550396624680788,0.0,0.0,0.0
276.15384615384613,776.4775547033612,0.15454406798126158,0.0,0.0,0.0
278.2051282051282,777.6986007255497,0.15430142202653657,0.0,0.0,0.0
280.2564102564103,777.7160043747723,0.15429796908509213,0.0,0.0,0.0
282.3076923076923,776.5837104072399,0.15452294246176254,0.0,0.0,0.0
284.35897435897436,774.352487438964,0.15496818560870013,0.0,0.0,0.0
286.4102564102564,771.0701583095055,0.15562786175396548,0.0022,0.0,2200.0000000000005
288.46153846153845,766.7818106826151,0.15649823499747856,0.0256,0.0,25600.000000000004
290.5128205128205,761.5299898339547,0.15757751054054353,0.1103,0.0,110300.0
292.56410256410254,755.3548753592196,0.15886572512414424,0.2607,0.0,260700.0
294.61538461538464,748.2944433458572,0.16036468139926668,0.5167,0.0,516700.00000000006
296.6666666666667,740.3846153846155,0.16207792207792207,0.6904,0.0,690400.0
298.71794871794873,731.6593956502214,0.16401074149175204,0.8731,0.0,873100.0
300.7692307692308,722.1509971509972,0.16617023375086298,0.8712,0.0,871200.0
302.8205128205128,711.8899581328502,0.16856537815863679,0.7973,0.0,797300.0
304.87179487179486,700.9052495219296,0.17120716399520347,0.5691,0.0,569100.0000000001
306.9230769230769,689.2243742006214,0.1741087583258773,0.415,0.0,415000.0
308.97435897435895,676.8734588320204,0.17728572221913694,0.1972,0.0,197200.0
311.025641025641,663.8773388773392,0.1807562827839974,0.0482,0.0,48200.0
313.0769230769231,650.2596373877838,0.18454167089635573,0.0272,0.0,27200.0
315.12820512820514,636.0428380963423,0.18866653755454038,0.0062,0.0,6200.0
317.1794871794872,621.2483532848388,0.19315946572011386,0.0009,0.0,900.0
319.2307692307692,605.8965868568519,0.1980535995796111,0.0,0.0,0.0
321.28205128205127,590.0069930069932,0.203387419848052,0.0,0.0,0.0
323.3333333333333,573.5981308411217,0.20920570264765775,0.0,0.0,0.0
325.38461538461536,556.687715269805,0.21556071152358847,0.0,0.0,0.0
327.43589743589746,539.2926644683495,0.22251368858929227,0.0,0.0,0.0
329.4871794871795,521.4291441706312,0.23013673351701167,0.0,0.0,0.0
331.53846153846155,503.11260904044406,0.23851519092091267,0.0,0.0,0.0
333.5897435897436,484.35784134288554,0.24775071188545053,0.0,0.0,0.0
335.64102564102564,465.1789871191352,0.2579652205340635,0.0,0.0,0.0
337.6923076923077,445.58959005066816,0.2693061119007622,0.0,0.0,0.0
339.7435897435897,425.60262318326863,0.2819531494013533,0.0,0.0,0.0
341.7948717948718,405.2305186670005,0.29612774574515793,0.0,0.0,0.0
343.8461538461538,384.4851956554088,0.3121056450442603,0.0,0.0,0.0
345.8974358974359,363.3780864955082,0.33023455309951205,0.0,0.0,0.0
347.94871794871796,341.9201613295106,0.3509591231280312,0.0,0.0,0.0
350.0,320.12195121951225,0.3748571428571428,0.0,0.0,0.0
